Evénement;Date/Heure de l'événement;Pari;Paris/Pronostics;Cotes Première;Cotes Dernière;Chiffre d'affaires;Stakes (FreeBet) Toutes Formules;Stakes (FreeBet) Simple uniquement;Mises en pourcentage Toutes Formules;Mises en pourcentage Simple uniquement;Prise de jeu;Liability Montant;Liability RU Montant;Exposure Montant;Exposure RU Montant;Payout;Alerte;Enjeux à Cotes Fixes Simples;Enjeux à Cotes Fixes R / O Last Leg;Mise en cours Cote;CA en %;CA Simple %;Liability Simple;Stakes Multiples;Expected Stake Distribution %;Stake Deviation %;Prises de jeu annulées;Mises annulées (Paris gratuits)
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - Mi-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 10 points;1,8;1,8;;;;;;;1;1;;;;;;;;;;;;46 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - Mi-temps;Panathinaïkos gagne par exactement 10 points d'écart;11;11;;;;;;;1;1;;;;;;;;;;;;8 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - Mi-temps;Panathinaïkos gagne par au moins 11 points d'écart;1,8;1,8;;;;100,00 %;;1;;0;0;1;;;;;1 [1];100 %;;;1;46 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 1er Quart-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 5 points;1,85;1,85;1;1 (0);1 (0);20,00 %;20,00 %;1;2;2;1;;1;;1 [1];;;20 %;100 %;2;;45 %;-56 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 1er Quart-temps;Panathinaïkos gagne par exactement 5 points d'écart;9;9;;;;;;;4;4;;;;;;;;;;4;;9 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 1er Quart-temps;Panathinaïkos gagne par au moins 6 points d'écart;1,85;1,85;3;3 (0);3 (0);80,00 %;80,00 %;1;-2;-2;3;;6;;3 [1];;;80 %;100 %;-2;;45 %;76 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 4 points;1,9;1,9;;;;;;;3;3;;;;;;;;;;3;;44 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Panathinaïkos gagne par exactement 4 points d'écart;9;9;;;;;;;3;3;;;;;;;;;;3;;9 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Panathinaïkos gagne par au moins 5 points d'écart;1,8;1,8;3;3 (0);3 (0);100,00 %;100,00 %;1;-2;-2;2;;5;;3 [1];;;100 %;100 %;-2;;47 %;115 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 5 points;1,85;1,85;;;;;;;;;;;;;;;;;;;;45 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Panathinaïkos gagne par exactement 5 points d'écart;9;9;;;;;;;;;;;;;;;;;;;;9 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 2ème Quart-temps;Panathinaïkos gagne par au moins 6 points d'écart;1,85;1,85;;;;;;;;;;;;;;;;;;;;45 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 4 points;1,85;1,85;;;;;;;3;3;;;;;;;;;;3;;45 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Panathinaïkos gagne par exactement 4 points d'écart;9;9;;;;;;;3;3;;;;;;;;;;3;;9 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Panathinaïkos gagne par au moins 5 points d'écart;1,85;1,85;3;3 (0);3 (0);100,00 %;100,00 %;1;-3;-3;3;;6;;3 [1];;;100 %;100 %;-3;;45 %;121 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Match nul ou Kolo.Rhodes gagne ou perd par moins de 5 points;1,8;1,8;;;;;;;;;;;;;;;;;;;;47 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Panathinaïkos gagne par exactement 5 points d'écart;9;9;;;;;;;;;;;;;;;;;;;;9 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart entre les équipes - Ouvert - 3ème Quart-temps;Panathinaïkos gagne par au moins 6 points d'écart;1,9;1,9;;;;;;;;;;;;;;;;;;;;44 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Match;Plus 154,5;1,7;1,7;53;71 (0);43 (0);41,67 %;30,29 %;8;70;64;36;14;74;;43 [5];;8 [2];35 %;82 %;70;28;50 %;-39 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Match;Moins 154,5;1,7;1,7;100;100 (0);100 (0);58,33 %;69,71 %;1;-19;-19;70;;170;;100 [1];;;65 %;100 %;-27;;50 %;39 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Match;Plus 156,5;1,7;1,8;21;39 (0);3 (0);17,37 %;2,39 %;3;180;151;31;65;5;;3 [2];;36 [1];13 %;14 %;114;36;47 %;-95 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Match;Moins 156,5;1,7;1,6;146;186 (0);116 (0);82,63 %;97,61 %;10;-31;-91;130;127;185;;116 [4];;79 [4];87 %;79 %;-67;70;53 %;84 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Mi-temps;Plus 76,5;1,7;1,7;3;5 (0);;33,33 %;;1;10;7;4;9;;;;;5 [1];20 %;;10;5;50 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Mi-temps;Moins 76,5;1,7;1,7;10;10 (0);10 (0);66,67 %;100,00 %;1;-2;-2;7;;17;;10 [1];;;80 %;100 %;-7;;50 %;100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Mi-temps;Plus 77,5;1,65;1,75;100;100 (0);100 (0);100,00 %;100,00 %;1;-75;-75;75;;175;;100 [1];;;100 %;100 %;-75;;49 %;106 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - Mi-temps;Moins 77,5;1,75;1,65;;;;;;;100;100;;;;;;;;;;100;;51 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 1er Quart-temps;Plus 38,5;1,65;1,65;9;9 (0);9 (0);8,43 %;8,51 %;4;94;94;6;;15;;9 [4];;;8 %;100 %;93;;51 %;-83 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 1er Quart-temps;Moins 38,5;1,75;1,75;99;100 (0);99 (0);91,57 %;91,49 %;4;-65;-66;75;2;173;;99 [2];;1 [2];92 %;100 %;-65;1;49 %;89 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 1er Quart-temps;Plus 39,5;1,7;1,8;;;;;;;;;;;;;;;;;;;;47 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 1er Quart-temps;Moins 39,5;1,7;1,6;;;;;;;;;;;;;;;;;;;;53 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 2ème Quart-temps;Plus 37,5;1,7;1,7;;;;;;;;;;;;;;;;;;;;50 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 2ème Quart-temps;Moins 37,5;1,7;1,7;;;;;;;;;;;;;;;;;;;;50 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 2ème Quart-temps;Plus 38,5;1,75;1,75;;;;;;;;;;;;;;;;;;;;48 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 2ème Quart-temps;Moins 38,5;1,65;1,6;;;;;;;;;;;;;;;;;;;;52 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 3ème Quart-temps;Plus 37,5;1,7;1,7;;;;;;;4;4;;;;;;;;;;4;;50 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 3ème Quart-temps;Moins 37,5;1,7;1,7;4;4 (0);4 (0);100,00 %;100,00 %;1;-3;-3;3;;6;;4 [1];;;100 %;100 %;-3;;50 %;100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 3ème Quart-temps;Plus 38,5;1,75;1,75;;;;;;;;;;;;;;;;;;;;48 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Plus / Moins (point) - Ouvert - 3ème Quart-temps;Moins 38,5;1,65;1,6;;;;;;;;;;;;;;;;;;;;52 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Kolo.Rhodes - Kolo.Rhodes;15;13;;;;;;;;;;;;;;;;;;;;5 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Kolo.Rhodes - N;28;28;;;;;;;;;;;;;;;;;;;;3 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Kolo.Rhodes - Panathinaïkos;6;6;;;;;;;;;;;;;;;;;;;;12 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;N - Kolo.Rhodes;45;45;;;;;;;;;;;;;;;;;;;;2 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;N - N;150;140;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;N - Panathinaïkos;25;21;;;;;;;;;;;;;;;;;;;;3 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Panathinaïkos - Kolo.Rhodes;15;12;;;;;;;;;;;;;;;;;;;;6 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Panathinaïkos - N;30;30;;;;;;;;;;;;;;;;;;;;2 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Mi-temps / Fin de match - Ouvert - Temps réglementaire;Panathinaïkos - Panathinaïkos;1,04;1,08;;;;;;;;;;;;;;;;;;;;66 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Kolo.Rhodes 1-5;17;16;;;;;;;41;41;;;;;;;;;;40;;5 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Kolo.Rhodes 6-10;40;35;;;;;;;41;41;;;;;;;;;;40;;2 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Kolo.Rhodes 11+;80;75;;;;;;;41;41;;;;;;;;;;40;;1 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Panathinaïkos 1-5;7,5;7;20;20 (0);20 (0);47,17 %;50,00 %;1;-99;-99;120;;140;;20 [1];;;49 %;100 %;-100;;11 %;366 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Panathinaïkos 6-10;4,2;4,1;20;20 (0);20 (0);47,17 %;50,00 %;1;-41;-41;62;;82;;20 [1];;;49 %;100 %;-42;;18 %;173 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Ecart du gagnant - Ouvert - Match;Panathinaïkos 11+;1,15;1,19;1;2 (0);;5,66 %;;2;39;39;1;;3;;;2 [1];;2 %;;40;2;63 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;99,5 et Moins;100;100;2;2 (0);2 (0);20,00 %;60,00 %;2;-147;-147;149;;150;;2 [2];;;47 %;100 %;-147;;1 %;9003 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 101 et 110;100;100;1;;;6,67 %;20,00 %;1;-47;-47;50;;50;;1 [1];;;16 %;100 %;-47;;1 %;2934 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 161 et 170;3,15;3,55;1;;;6,67 %;20,00 %;1;1;1;1;;2;;1 [1];;;16 %;100 %;1;;19 %;8 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 151 et 160;2,7;2,7;1;5 (0);;66,67 %;;1;3;3;;;;;;;;22 %;;3;5;24 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 141 et 150;3,3;2,95;;;;;;;3;3;;;;;;;;;;3;;22 %;-100 %;;
Kolo.Rhodes vs Panathinaïkos - ESAKE;25 févr. 2019 13:45:00;Nombre total de points (hors prolongation) - Ouvert - Temps réglementaire;Entre 131 et 140;6,25;4,9;;;;;;;3;3;;;;;;;;;;3;;13 %;-100 %;;
