Evénement;Date/Heure de l'événement;Pari;Paris/Pronostics;Cotes Première;Cotes Dernière;Chiffre d'affaires;Stakes (FreeBet) Toutes Formules;Stakes (FreeBet) Simple uniquement;Mises en pourcentage Toutes Formules;Mises en pourcentage Simple uniquement;Prise de jeu;Liability Montant;Liability RU Montant;Exposure Montant;Exposure RU Montant;Payout;Alerte;Enjeux à Cotes Fixes Simples;Enjeux à Cotes Fixes R / O Last Leg;Mise en cours Cote;CA en %;CA Simple %;Liability Simple;Stakes Multiples;Expected Stake Distribution %;Stake Deviation %;Prises de jeu annulées;Mises annulées (Paris gratuits)
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Mi-temps;CAY Berrechid;2,5;2,7;;;;;;;10;10;;;;;;;;;;10;;31 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Mi-temps;N;2,05;1,95;;;;;;;10;10;;;;;;;;;;10;;43 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Mi-temps;US Rabat;3,2;3,1;10;10 (0);10 (0);100,00 %;100,00 %;1;-20;-20;20;;30;;10 [1];;;100 %;100 %;-20;;27 %;274 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;CAY Berrechid [-1];3,95;4,5;;;;;;;;;;;;;;;;;;;;18 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;N [+1];3,1;3,2;;;;;;;;;;;;;;;;;;;;25 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;US Rabat [+1];1,48;1,4;;;;;;;;;;;;;;;;;;;;57 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;CAY Berrechid [+1];1,22;1,25;;;;;;;;;;;;;;;;;;;;64 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;N [-1];3,75;3,65;;;;;;;;;;;;;;;;;;;;22 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - 90 Mins;US Rabat [-1];6,25;5,75;;;;;;;;;;;;;;;;;;;;14 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;CAY Berrechid gagne par au moins 2 buts d'écart;3,95;4,5;;;;;;;;;;;;;;;;;;;;18 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;CAY Berrechid gagne par exactement 1 but d'écart;3,1;3,2;;;;;;;;;;;;;;;;;;;;25 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;Match nul ou US Rabat gagne;1,48;1,4;;;;;;;;;;;;;;;;;;;;57 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;Match nul ou CAY Berrechid gagne;1,22;1,25;1;2 (0);;100,00 %;;1;;0;0;2;;;;;2 [1];100 %;;;2;64 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;US Rabat gagne par exactement 1 but d'écart;3,75;3,65;;;;;;;2;2;;;;;;;;;;;;22 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - 90 Mins;US Rabat gagne par au moins 2 buts d'écart;6,25;5,75;;;;;;;2;2;;;;;;;;;;;;14 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Face à Face - Remboursé si nul - Ouvert - 90 Mins;CAY Berrechid;1,5;1,6;;;;;;;1;1;;;;;;;;;;1;;53 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Face à Face - Remboursé si nul - Ouvert - 90 Mins;US Rabat;1,95;1,82;1;;;100,00 %;100,00 %;1;0;0;0;;1;;1 [1];;;100 %;100 %;0;;47 %;114 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Face à Face - Remboursé si nul - Ouvert - Mi-temps;CAY Berrechid;1,45;1,55;2;2 (0);2 (0);100,00 %;100,00 %;1;-1;-1;1;;3;;2 [1];;;100 %;100 %;-1;;54 %;86 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Face à Face - Remboursé si nul - Ouvert - Mi-temps;US Rabat;1,9;1,8;;;;;;;2;2;;;;;;;;;;2;;46 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance - Ouvert - 90 Mins;CAY Berrechid / N;1,22;1,25;15;67 (0);;53,13 %;;20;44;22;22;87;;;;;69 [20];50 %;;;67;35 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance - Ouvert - 90 Mins;N / US Rabat;1,48;1,4;6;23 (0);;17,77 %;;4;87;78;9;32;;;;;23 [4];20 %;;;23;31 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance - Ouvert - 90 Mins;CAY Berrechid / US Rabat;1,3;1,3;9;37 (0);;29,10 %;;8;87;81;6;28;;;;;22 [7];30 %;;;37;34 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance 1/N - 2 - Ouvert - 90 Mins;CAY Berrechid / N;1,22;1,25;;;;;;;;;;;;;;;;;;;;69 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance 1/N - 2 - Ouvert - 90 Mins;US Rabat;3,05;2,8;;;;;;;;;;;;;;;;;;;;31 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance 1/2 - N - Ouvert - 90 Mins;CAY Berrechid / US Rabat;1,3;1,3;;;;;;;;;;;;;;;;;;;;67 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance 1/2 - N - Ouvert - 90 Mins;N;2,7;2,6;;;;;;;;;;;;;;;;;;;;33 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance N/2 - 1 - Ouvert - 90 Mins;N / US Rabat;1,48;1,4;;;;;;;;;;;;;;;;;;;;62 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Double Chance N/2 - 1 - Ouvert - 90 Mins;CAY Berrechid;2,1;2,3;;;;;;;;;;;;;;;;;;;;38 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Plus 1,5;1,38;1,45;6;23 (0);;100,00 %;;5;;-5;5;17;;;;;12 [3];100 %;;;23;58 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Moins 1,5;2,2;1,98;;;;;;;12;12;;;;;;;;;;;;42 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Plus 2,5;2,15;2,35;;;;;;;103;103;;;;;;;;;;3;;36 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Moins 2,5;1,4;1,3;78;203 (0);3 (0);100,00 %;100,00 %;3;-1;-36;36;135;4;;3 [1];;100 [1];100 %;4 %;-1;200;64 %;55 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Plus 3,5;3,4;3,8;;;;;;;4;4;;;;;;;;;;;;22 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Plus / Moins (but) - Ouvert - 90 Mins;Moins 3,5;1,13;1,07;8;63 (0);;100,00 %;;2;;0;0;4;;;;;4 [4];100 %;;;63;78 %;-100 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Les 2 équipes marqueront-elles? - Ouvert - 90 Mins;Oui;1,85;1,95;32;72 (0);4 (0);100,00 %;100,00 %;10;-4;-34;34;63;8;;4 [3];;33 [5];100 %;14 %;-4;68;43 %;134 %;;
CAY Berrechid vs US Rabat - Ch.D1 Maroc;25 févr. 2019 15:00:00;Les 2 équipes marqueront-elles? - Ouvert - 90 Mins;Non;1,5;1,45;;;;;;;37;37;;;;;;;;;;4;;57 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;CSKA Moscou;3,25;2,6;;;;;;;;;;;;;;;;;;;;27 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;St Petersbourg;3,75;3,05;;;;;;;;;;;;;;;;;;;;23 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Ekaterinbourg;9;7;;;;;;;;;;;;;;;;;;;;10 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Bars Kazan;8;7,5;;;;;;;;;;;;;;;;;;;;9 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Magnitogorsk;19,8;11,5;;;;;;;;;;;;;;;;;;;;6 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Avangard Omsk;9,75;11,8;;;;;;;;;;;;;;;;;;;;6 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Barys Astana;40;18,3;;;;;;;;;;;;;;;;;;;;4 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Sal.Yulaev Ufa;24;21;;;;;;;;;;;;;;;;;;;;3 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Lok. Yaroslavl;24;23;;;;;;;;;;;;;;;;;;;;3 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Jokerit Hel.;14,8;24;;;;;;;;;;;;;;;;;;;;3 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Dinamo Moscou;60;52;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;T.Novgorod;64;100;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Spartak Moscou;94;120;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;HC Sochi;145;140;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;T.Chelyabinsk;150;140;;;;;;;;;;;;;;;;;;;;1 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Vityaz Chekhov;200;310;;;;;;;;;;;;;;;;;;;;0 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;S. Novosibirsk;450;1000;;;;;;;;;;;;;;;;;;;;0 %;-100 %;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Avangard Omsk;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Bars Kazan;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Barys Astana;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;CSKA Moscou;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Dinamo Moscou;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Ekaterinbourg;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Jokerit Hel.;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Lok. Yaroslavl;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Magnitogorsk;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;S. Novosibirsk;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Sal.Yulaev Ufa;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Spartak Moscou;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;St Petersbourg;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;T.Chelyabinsk;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;T.Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;
Kontinental Hockey League 2018/19 - Vainqueur - KHL;25 févr. 2019 15:00:00;Vainqueur compétition - Suspendu - Temps Réglementaire;Vityaz Chekhov;;;;;;;;;;;;;;;;;;;;;;;;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Temps Réglementaire;Magnitogorsk;1,8;1,55;856;2062 (0);361 (0);96,82 %;94,51 %;259;-411;-1 165;1 202;1 486;913;;361 [38];210 [4];909 [176];96 %;42 %;-184;1701;55 %;73 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Temps Réglementaire;N;3,9;3,85;15;22 (0);11 (0);1,01 %;2,88 %;6;"1 184""""";1 160;55;32;42;;11 [2];;9 [5];2 %;74 %;341;11;22 %;-87 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa;2,75;3,65;22;46 (0);10 (0);2,17 %;2,62 %;10;"1 190""""";1 175;43;23;37;;10 [1];;7 [3];2 %;46 %;345;36;23 %;-89 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 1er Tiers-Temps;Magnitogorsk;2,25;2,1;;;;;;;;;;;;;;;;;;;;40 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 1er Tiers-Temps;N;2,25;2,25;;;;;;;;;;;;;;;;;;;;37 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 1er Tiers-Temps;Sal.Yulaev Ufa;3,25;3,6;;;;;;;;;;;;;;;;;;;;23 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Tiers-Temps;Magnitogorsk;2,1;1,95;;;;;;;;;;;;;;;;;;;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Tiers-Temps;N;2,5;2,5;;;;;;;;;;;;;;;;;;;;33 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 - Ouvert - 2ème Tiers-Temps;Sal.Yulaev Ufa;3,1;3,45;;;;;;;;;;;;;;;;;;;;24 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - Match;Magnitogorsk;1,45;1,3;407;853 (0);263 (0);100,00 %;100,00 %;34;-109;-226;226;472;380;;263 [5];19 [1];359 [16];100 %;65 %;-92;589;66 %;52 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - Match;Sal.Yulaev Ufa;2,05;2,5;;;;;;;626;626;;;;;;;;;;263;;34 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - 1er Tiers-Temps;Magnitogorsk;1,45;1,35;;1 (0);;100,00 %;;1;;;;;;;;;;100 %;;;1;62 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - 1er Tiers-Temps;Sal.Yulaev Ufa;2;2,2;;;;;;;;;;;;;;;;;;;;38 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - 2ème Tiers-Temps;Magnitogorsk;1,4;1,35;;;;;;;;;;;;;;;;;;;;62 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face - Ouvert - 2ème Tiers-Temps;Sal.Yulaev Ufa;2;2,2;;;;;;;;;;;;;;;;;;;;38 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;Magnitogorsk [-1];2,5;1,95;;;;;;;;;;;;;;;;;;;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;N [+1];5,5;5,75;;;;;;;;;;;;;;;;;;;;14 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;Sal.Yulaev Ufa [+1];1,6;1,95;;;;;;;;;;;;;;;;;;;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;Magnitogorsk [+1];1,22;1,12;;;;;;;;;;;;;;;;;;;;72 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;N [-1];5;6;;;;;;;;;;;;;;;;;;;;13 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;1 N 2 Handicap - Suspendu - Temps Réglementaire;Sal.Yulaev Ufa [-1];4,75;5,5;;;;;;;;;;;;;;;;;;;;15 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Magnitogorsk gagne par au moins 2 buts d'écart;2,5;1,95;4;4 (0);4 (0);28,57 %;100,00 %;2;6;6;4;;8;;4 [2];;;55 %;100 %;-4;;43 %;134 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Magnitogorsk gagne par exactement 1 but d'écart;5,5;5,75;3;10 (0);;71,43 %;;1;4;-43;48;58;;;;;10 [1];45 %;;4;10;14 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Match nul ou Sal.Yulaev Ufa gagne;1,6;1,95;;;;;;;14;14;;;;;;;;;;4;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Match nul ou Magnitogorsk gagne;1,22;1,12;;5 (0);;100,00 %;;1;;;;;;;;;;100 %;;;5;72 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa gagne par exactement 1 but d'écart;5;6;;;;;;;;;;;;;;;;;;;;13 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Ecart entre les équipes - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa gagne par au moins 2 buts d'écart;4,75;5,5;;;;;;;;;;;;;;;;;;;;15 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Magnitogorsk [-2,5];2,95;2,8;;;;;;;;;;;;;;;;;;;;30 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa [+2,5];1,18;1,22;;;;;;;;;;;;;;;;;;;;70 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Magnitogorsk [-1,5];2,2;1,95;;;;100,00 %;;1;;0;0;1;;;;;1 [1];100 %;;;1;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa [+1,5];1,35;1,5;;;;;;;1;1;;;;;;;;;;;;57 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Magnitogorsk [-0,5];1,65;1,5;;;;;;;;;;;;;;;;;;;;57 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa [+0,5];1,75;1,95;;;;;;;;;;;;;;;;;;;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Magnitogorsk [+0,5];1,22;1,2;;;;;;;;;;;;;;;;;;;;71 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - Temps Réglementaire;Sal.Yulaev Ufa [-0,5];2,75;2,95;;;;;;;;;;;;;;;;;;;;29 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - 1er Tiers-Temps;Magnitogorsk [-0,5];2,1;1,95;;;;;;;;;;;;;;;;;;;;43 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - 1er Tiers-Temps;Sal.Yulaev Ufa [+0,5];1,4;1,45;;;;;;;;;;;;;;;;;;;;57 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - 2ème Tiers-Temps;Magnitogorsk [-0,5];1,95;1,85;;;;;;;;;;;;;;;;;;;;45 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Face à Face Handicap (but) - Ouvert - 2ème Tiers-Temps;Sal.Yulaev Ufa [+0,5];1,45;1,5;;;;;;;;;;;;;;;;;;;;55 %;-100 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Double Chance - Ouvert - Temps Réglementaire;Magnitogorsk / N;1,22;1,12;3;4 (0);2 (0);100,00 %;100,00 %;2;0;-1;1;2;2;;2 [1];;2 [1];100 %;80 %;0;2;39 %;159 %;;
Magnitogorsk vs Sal.Yulaev Ufa - KHL Playoffs;25 févr. 2019 15:00:00;Double Chance - Ouvert - Temps Réglementaire;N / Sal.Yulaev Ufa;1,6;1,95;;;;;;;4;4;;;;;;;;;;2;;22 %;-100 %;;
